#OTU ID,LAQ1,LAQ2,,species,species found in fishtank
,,,,,
Otu2,26231,0,,Pennaria disticha,
Otu4,5811,75,,Marrus orthocanna,
Otu9,5039,0,,Rhodactis mussoides,found
Otu6,4060,0,,Heteroxenia ghardaqensis,"found, xenia ?"
Otu7,3472,0,,Euphyllia ancora,"found, hammer coral"
Otu8,2557,0,,,
Otu10,1848,0,,Pennaria disticha,
Otu14,1650,0,,Hydnophora exesa,found
Otu19,1450,0,,Brachistosternus quiscapata,
Otu13,1319,0,,Euphausia superba,
Otu15,1139,0,,Pinnigorgia flava,
Otu32,999,0,,Aleochara valida,
Otu16,980,0,,Orthopyxis integra,
Otu18,911,0,,,
Otu21,691,6,,Antipathes atlantica,
Otu22,633,0,,Rhinoliparis attenuatus,
Otu28,606,0,,Duncanopsammia axifuga,
Otu24,476,0,,Aquilonastra coronata,
Otu27,448,0,,Aporometra wilsoni,
Otu29,441,0,,Pseudanthias squamipinnis,"Sea goldie, lyretail coralfish (not in fish tank?)"
Otu26,423,4,,Sinularia brassica,
Otu65,307,0,,,
Otu35,226,0,,,
Otu49,219,0,,Zoramia leptacantha,"found, Threadfin cardinalfish, apogan leptacanthus"
Otu40,217,0,,Oscarella microlobata,
Otu39,213,0,,,
Otu37,201,0,,Clytia folleata,
Otu38,200,0,,,
Otu45,196,0,,Macropicola ocydromi,
Otu46,182,0,,Candelabrum cocksii,
Otu42,180,0,,Apolemia lanosa,
Otu43,173,0,,,
Otu48,149,0,,Sphenophorus incurrens,
Otu52,145,0,,Balaenoptera bonaerensis,
Otu51,140,0,,,
Otu54,139,1,,Bhavania australis,
Otu56,137,0,,Pocillopora eydouxi,found
Otu55,135,0,,Protolaeospira eximia,
Otu58,132,0,,,
Otu57,127,0,,Halistemma amphytridis,
Otu53,122,0,,Pennaria disticha,
Otu62,121,0,,Pocillopora eydouxi,found
Otu60,115,0,,Zebrasoma flavescens,
Otu61,114,0,,Halistemma amphytridis,
Otu59,110,0,,,
Otu63,103,0,,Platygyra carnosus,
Otu64,102,0,,Glycera nana,
Otu66,100,0,,Pennaria disticha,
Otu90,100,0,,Pennaria disticha,
Otu69,98,0,,Schistosoma spindale,
Otu75,98,0,,Tritonia diomedea,
Otu77,95,0,,Pseudohynobius jinfo,
Otu67,93,0,,Madracis myriaster,
Otu68,91,0,,Campanularia subantarctica,
Otu72,91,0,,Panopea globosa,
Otu71,90,0,,Halcampoides purpurea,
Otu102,85,0,,Lordithon thoracicus,
Otu97,85,0,,,
Otu70,84,0,,Pennaria disticha,
Otu73,81,4,,Zanclea gallii,
Otu78,80,0,,Clytia hemisphaerica,
Otu80,78,0,,Haliclona oculata,
Otu79,78,0,,Leminda millecra,
Otu91,77,0,,Hydatigera parva,
Otu128,77,2,,Ircinia strobilina,
Otu107,77,0,,Ophiolepis impressa,
Otu89,75,0,,Argyrotaenia occultana,
Otu81,75,0,,Solen grandis,
Otu86,74,0,,Pennaria disticha,
Otu76,72,0,,,
Otu132,71,0,,Dictyocaulus viviparus,
Otu120,71,0,,Sepia lycidas,
Otu85,70,0,,Spercheus emarginatus,
Otu98,68,0,,Chrysaora quinquecirrha,tropical water jellyfish (not seen in fishtank)
Otu112,67,0,,Okenia harastii,
Otu87,63,0,,Brachistosternus ochoai,
Otu95,63,0,,Cassiopea andromeda,
Otu96,63,0,,Pantachogon haeckeli,
Otu94,63,0,,Parnassius imperator,
Otu93,61,0,,Pennaria disticha,
